codigo_ibge,Nome_Município,Territórios de Desenvolvimento,Aglomerado,Gerência Regional de Ensino GRE,População em 2022 IBGE,Faixa populacional
2206308,Miguel Leão,Entre Rios,8,6ª,1318,Menos de 5.000 habitantes
2206357,Milton Brandão,Cocais,4,3ª,6542,5.001 a 10.000 de habitantes
2206407,Monsenhor Gil,Entre Rios,8,18ª,10255,10.001 a 20.000 de habitantes
2206506,Monsenhor Hipólito,Vale do Rio Guaribas,15,9ª,7577,5.001 a 10.000 de habitantes
2206605,Monte Alegre do Piauí,Chapada das Mangabeiras,28,15ª,10660,10.001 a 20.000 de habitantes
2206654,Morro Cabeça no Tempo,Chapada das Mangabeiras,27,15ª,4377,Menos de 5.000 habitantes
2206670,Morro do Chapéu do Piauí,Cocais,3,2ª,6425,5.001 a 10.000 de habitantes
2206696,Murici dos Portelas,Planície Litorânea,2,1ª,9797,5.001 a 10.000 de habitantes
2206704,Nazaré do Piauí,Vale dos Rios Piauí e Itaueiras,21,10ª,6665,5.001 a 10.000 de habitantes
2206720,Nazária,Entre Rios,7,18ª,10262,10.001 a 20.000 de habitantes
2206753,Nossa Senhora de Nazaré,Carnaubais,5,5ª,5228,5.001 a 10.000 de habitantes
2206803,Nossa Senhora dos Remédios,Cocais,3,2ª,8525,5.001 a 10.000 de habitantes
2207959,Nova Santa Rita,Vale dos Rios Piauí e Itaueiras,22,12ª,4076,Menos de 5.000 habitantes
2206902,Novo Oriente do Piauí,Vale do Sambito,11,7ª,6097,5.001 a 10.000 de habitantes
2206951,Novo Santo Antônio,Carnaubais,6,18ª,2827,Menos de 5.000 habitantes
2207009,Oeiras,Vale do Canindé,16,8ª,38138,20.001 a 50.000 de habitantes
2207108,Olho D'Água do Piauí,Entre Rios,9,6ª,2637,Menos de 5.000 habitantes
2207207,Padre Marcos,Chapada Vale do Rio Itaim,13,16ª,6382,5.001 a 10.000 de habitantes
2207306,Paes Landim,Vale dos Rios Piauí e Itaueiras,22,12ª,4088,Menos de 5.000 habitantes
2207355,Pajeú do Piauí,Vale dos Rios Piauí e Itaueiras,23,12ª,3000,Menos de 5.000 habitantes
2207405,Palmeira do Piauí,Chapada das Mangabeiras,26,14ª,4952,Menos de 5.000 habitantes
2207504,Palmeirais,Entre Rios,9,18ª,13264,10.001 a 20.000 de habitantes
2207553,Paquetá,Vale do Rio Guaribas,12,9ª,3813,Menos de 5.000 habitantes
2207603,Parnaguá,Chapada das Mangabeiras,27,15ª,10103,10.001 a 20.000 de habitantes
2207702,Parnaíba,Planície Litorânea,1,1ª,162159,Acima de 50.000 habitantes
2207751,Passagem Franca do Piauí,Entre Rios,9,18ª,4135,Menos de 5.000 habitantes
2207777,Patos do Piauí,Chapada Vale do Rio Itaim,14,17ª,5425,5.001 a 10.000 de habitantes
2207793,Pau D'Arco do Piauí,Entre Rios,7,18ª,3880,Menos de 5.000 habitantes
2207801,Paulistana,Chapada Vale do Rio Itaim,14,17ª,21055,20.001 a 50.000 de habitantes
2207850,Pavussu,Vale dos Rios Piauí e Itaueiras,23,10ª,3628,Menos de 5.000 habitantes
2207900,Pedro II,Cocais,4,3ª,37894,20.001 a 50.000 de habitantes
2207934,Pedro Laurentino,Vale dos Rios Piauí e Itaueiras,22,12ª,2458,Menos de 5.000 habitantes
2208007,Picos,Vale do Rio Guaribas,12,9ª,83090,Acima de 50.000 habitantes
2208106,Pimenteiras,Vale do Sambito,11,7ª,11341,10.001 a 20.000 de habitantes
2208205,Pio IX,Vale do Rio Guaribas,15,16ª,17613,10.001 a 20.000 de habitantes
2208304,Piracuruca,Cocais,4,3ª,28846,20.001 a 50.000 de habitantes
2208403,Piripiri,Cocais,4,3ª,65538,Acima de 50.000 habitantes
2208502,Porto,Cocais,3,2ª,12052,10.001 a 20.000 de habitantes
2208551,Porto Alegre do Piauí,Tabuleiros do Alto Parnaíba,24,11ª,2364,Menos de 5.000 habitantes
2208601,Prata do Piauí,Vale do Sambito,10,18ª,3042,Menos de 5.000 habitantes
2208650,Queimada Nova,Chapada Vale do Rio Itaim,14,17ª,8738,5.001 a 10.000 de habitantes
2208700,Redenção do Gurguéia,Chapada das Mangabeiras,27,14ª,8394,5.001 a 10.000 de habitantes
2208809,Regeneração,Entre Rios,9,6ª,17133,10.001 a 20.000 de habitantes
2208858,Riacho Frio,Chapada das Mangabeiras,28,15ª,4165,Menos de 5.000 habitantes
2208874,Ribeira do Piauí,Vale dos Rios Piauí e Itaueiras,22,12ª,4055,Menos de 5.000 habitantes
2208908,Ribeiro Gonçalves,Tabuleiros do Alto Parnaíba,25,11ª,6164,5.001 a 10.000 de habitantes
2209005,Rio Grande do Piauí,Vale dos Rios Piauí e Itaueiras,23,10ª,5801,5.001 a 10.000 de habitantes
2209104,Santa Cruz do Piauí,Vale do Canindé,16,9ª,5831,5.001 a 10.000 de habitantes
2209153,Santa Cruz dos Milagres,Vale do Sambito,10,7ª,3435,Menos de 5.000 habitantes
2209203,Santa Filomena,Chapada das Mangabeiras,28,15ª,6087,5.001 a 10.000 de habitantes
2209302,Santa Luz,Chapada das Mangabeiras,26,14ª,5336,5.001 a 10.000 de habitantes
2209377,Santa Rosa do Piauí,Vale do Canindé,16,8ª,4650,Menos de 5.000 habitantes
2209351,Santana do Piauí,Vale do Rio Guaribas,12,9ª,4125,Menos de 5.000 habitantes
2209401,Santo Antônio de Lisboa,Vale do Rio Guaribas,12,9ª,5839,5.001 a 10.000 de habitantes
2209450,Santo Antônio dos Milagres,Entre Rios,9,6ª,2138,Menos de 5.000 habitantes
2209500,Santo Inácio do Piauí,Vale do Canindé,17,8ª,3646,Menos de 5.000 habitantes
2209559,São Braz do Piauí,Serra da Capivara,19,13ª,4358,Menos de 5.000 habitantes
2209609,São Félix do Piauí,Vale do Sambito,10,7ª,2842,Menos de 5.000 habitantes
2209658,São Francisco de Assis do Piauí,Vale do Canindé,17,17ª,5572,5.001 a 10.000 de habitantes
2209708,São Francisco do Piauí,Vale do Canindé,16,10ª,5392,5.001 a 10.000 de habitantes
2209757,São Gonçalo do Gurguéia,Chapada das Mangabeiras,28,15ª,2947,Menos de 5.000 habitantes
2209807,São Gonçalo do Piauí,Entre Rios,9,6ª,4837,Menos de 5.000 habitantes
2209856,São João da Canabrava,Vale do Rio Guaribas,12,9ª,4242,Menos de 5.000 habitantes
2209872,São João da Fronteira,Cocais,4,3ª,5552,5.001 a 10.000 de habitantes
2209906,São João da Serra,Carnaubais,6,5ª,6114,5.001 a 10.000 de habitantes
2209955,São João da Varjota,Vale do Canindé,16,8ª,4383,Menos de 5.000 habitantes
2209971,São João do Arraial,Cocais,3,2ª,8186,5.001 a 10.000 de habitantes
2210003,São João do Piauí,Serra da Capivara,18,12ª,21421,20.001 a 50.000 de habitantes
2210052,São José do Divino,Cocais,4,3ª,4841,Menos de 5.000 habitantes
2210102,São José do Peixe,Vale dos Rios Piauí e Itaueiras,22,10ª,3297,Menos de 5.000 habitantes
2210201,São José do Piauí,Vale do Rio Guaribas,12,9ª,6597,5.001 a 10.000 de habitantes
